,ShadingDade_Temperature_Daily_Max (C),ShadingDade_Temperature_Daily_Max (F),ShadingDade_Temperature_Daily_Min (C),ShadingDade_Temperature_Daily_Min (F),ERA5_Corresponding_Temperature_During_ShadingDade_Daily_Max (C),ERA5_Corresponding_Temperature_During_ShadingDade_Daily_Max (F),ERA5_Corresponding_Temperature_During_ShadingDade_Daily_Min (C),ERA5_Corresponding_Temperature_During_ShadingDade_Daily_Min (F),Daily_Temperature_Max_Difference (C),Daily_Temperature_Max_Difference (F),Daily_Temperature_Min_Difference (C),Daily_Temperature_Min_Difference (F),ERA5_Temperature_Daily_Max (C),ERA5_Temperature_Daily_Max (F),ERA5_Temperature_Daily_Max_Datetime,ERA5_Temperature_Daily_Min (C),ERA5_Temperature_Daily_Min (F),ERA5_Temperature_Daily_Min_Datetime,Absolute_time_difference_tmax_ERA5_ShadingDade (day H:M:S),Absolute_time_difference_tmin_ERA5_ShadingDade (day H:M:S)
10,38.75,101.75,23.375,74.075,27.733154,81.919677734375,26.674591,80.01426391601564,11.016845703125,19.830322265625,-3.299591064453125,-5.9392639160156335,30.532745361328125,86.95894165039063,2019-06-19 19:00:00,25.790863037109375,78.42355346679688,2019-06-19 07:00:00,0 days 07:00:00,0 days 07:00:00
11,40.25,104.45,26.5,79.7,28.130768,82.63538208007813,28.026276,82.44729614257812,12.119232177734375,21.814617919921872,-1.526275634765625,-2.747296142578122,30.80889892578125,87.45601806640624,2019-06-20 19:00:00,27.098968505859375,80.77814331054688,2019-06-20 06:00:00,0 days 07:00:00,0 days 05:00:00
12,39.5,103.1,25.5,77.9,27.922699,82.26085815429687,27.58612,81.65501708984375,11.577301025390625,20.839141845703125,-2.08612060546875,-3.755017089843747,31.005157470703125,87.80928344726563,2019-06-21 17:00:00,26.952239990234375,80.51403198242187,2019-06-21 09:00:00,0 days 05:00:00,0 days 03:00:00
13,39.625,103.325,26.375,79.475,27.223969,81.00314331054688,28.43335,83.180029296875,12.401031494140625,22.321856689453128,-2.058349609375,-3.7050292968750114,31.02813720703125,87.85064697265625,2019-06-22 18:00:00,27.223968505859375,81.00314331054688,2019-06-22 11:00:00,0 days 07:00:01,0 days 08:00:00
14,41.25,106.25,26.125,79.025,29.632782,85.33900756835938,27.86795,82.16231079101563,11.617218017578125,20.910992431640622,-1.742950439453125,-3.137310791015622,31.328460693359375,88.39122924804687,2019-06-23 20:00:00,27.527008056640625,81.54861450195312,2019-06-23 09:00:00,0 days 06:00:01,0 days 03:00:00
15,42.125,107.825,25.375,77.67500000000001,27.918732,82.25371704101562,27.826385,82.08749389648438,14.206268310546875,25.571282958984384,-2.451385498046875,-4.412493896484364,31.650115966796875,88.97020874023437,2019-06-24 18:00:00,27.292938232421875,81.12728881835938,2019-06-24 11:00:00,0 days 06:00:00,0 days 05:00:00
16,42.0,107.6,25.625,78.125,27.567657,81.62178344726563,28.509125,83.31642456054688,14.432342529296875,25.978216552734366,-2.884124755859375,-5.191424560546878,31.944915771484375,89.50084838867187,2019-06-25 18:00:00,27.4366455078125,81.3859619140625,2019-06-25 10:00:00,0 days 07:00:01,0 days 05:00:01
17,41.5,106.7,25.0,77.0,26.89978,80.4196044921875,28.283783,82.91080932617189,14.6002197265625,26.2803955078125,-3.283782958984375,-5.910809326171886,31.923858642578125,89.46294555664062,2019-06-26 20:00:00,26.8997802734375,80.4196044921875,2019-06-26 11:00:00,0 days 09:00:01,0 days 06:00:01
18,37.75,99.95,23.75,74.75,26.760468,80.16884155273438,27.043915,80.67904663085938,10.989532470703125,19.781158447265625,-3.293914794921875,-5.929046630859375,30.595123291015625,87.07122192382812,2019-06-27 17:00:00,26.6070556640625,79.8927001953125,2019-06-27 10:00:00,0 days 06:00:01,0 days 04:00:00
19,39.0,102.2,24.0,75.2,27.571991,81.62958374023438,27.885834,82.19450073242189,11.428009033203125,20.570416259765622,-3.885833740234375,-6.9945007324218835,29.393096923828125,84.90757446289064,2019-06-28 16:00:00,26.404876708984375,79.52877807617188,2019-06-28 09:00:00,0 days 05:00:01,0 days 07:00:01
